1001	1015	0.16
1002	1008	0.7
1003	1005	0.92
1004	1007	0.44
1005	1015	0.86
1006	1003	0.84
1007	1013	0.31
1008	1009	0.06
1009	1008	0.02
1010	1018	0.91
1011	1006	0.66
1012	1018	0.65
1013	2003	0.59
1014	1008	0.17
1015	1006	0.19
1016	1010	0.16
1017	3015	0.43
1018	1003	0.62
1019	1019	0.3
2001	2001	0.37
2002	2012	0.82
2003	2005	0.82
2004	1006	0.37
2005	2002	0.29
2006	2008	0.86
2007	2009	0.68
2008	2005	0.77
2009	2012	0.46
2010	2004	0.38
2011	2004	0.35
2012	2003	0.39
2013	2006	0.68
3001	3016	0.76
3002	3017	0.12
3003	3024	0.82
3004	3002	0.36
3005	3022	0.67
3006	3032	0.63
3007	2001	0.18
3008	3015	0.16
3009	3021	0.64
3010	3005	0.85
3011	3019	0.28
3012	3028	0.3
3013	3027	0.22
3014	3011	0.73
3015	3002	0.84
3016	3003	0.84
3017	3012	0.47
3018	3028	0.62
3019	3008	0.05
3020	3021	0.74
3021	3025	0.7
3022	3023	0.71
3023	3014	0.86
3024	3018	0.61
3025	3001	0.67
3026	3017	0.96
3027	3020	0.84
3028	3006	0.88
3029	3021	0.03
3030	3006	0.17
3031	3025	0.37
3032	3010	0.83
4001	4020	0.73
4002	4014	0.98
4003	4042	0.44
4004	4066	0.24
4005	4037	0.57
4006	4044	0.58
4007	4029	0.15
4008	4079	0.4
4009	4049	0.26
4010	4037	0.17
4011	4047	0.29
4012	4082	0.89
4013	4063	0.65
4014	4039	0.3
4015	4083	0.05
4016	4035	0.29
4017	4055	0.07
4018	4026	0.11
4019	1007	0.12
4020	2045	0.04
4021	4056	0.05
4022	4049	0.96
4023	4036	0.16
4024	4018	0.24
4025	4023	0.55
4026	4012	0.21
4027	4011	0.79
4028	4055	0.94
4029	4002	0.65
4030	4011	0.58
4031	4041	0.16
4032	4022	0.74
4033	4048	0.59
4034	4020	0.59
4035	4035	0.85
4036	4006	0.7
4037	4006	0.8
4038	4046	0.65
4039	4039	0.77
4040	4028	0.79
4041	4043	0.33
4042	4077	0.09
4043	4067	0.88
4044	4050	1
4045	4004	0.04
4046	4031	0.7
4047	4012	0.1
4048	4009	0.7
4049	4056	0.13
4050	4022	0.39
4051	4017	0.11
4052	4039	0.28
4053	4028	0.45
4054	4006	0.73
4055	6005	0.56
4056	4063	0.7
4057	4007	0.38
4058	4028	0.09
4059	4008	0.46
4060	4043	0.11
4061	3012	0.35
4062	4071	0.6
4063	4046	0.3
4064	4004	0.88
4065	4046	0.03
4066	4063	0.04
4067	4005	0.16
4068	4055	0.28
4069	4033	0.69
4070	4044	0.11
4071	5012	0.02
4072	4073	0.43
4073	4024	0.14
4074	4041	0.04
4075	7001	0.08
4076	4025	0.53
4077	4028	0.31
4078	4011	0.53
4079	4013	0.93
4080	4011	0.01
4081	4004	0.27
4082	4016	0.13
4083	4027	0.93
5001	5023	0.73
5002	5026	0.52
5003	5005	0.26
5004	5027	0.79
5005	5007	0.18
5006	5010	0.06
5007	2004	0.56
5008	5013	0.73
